oblast,period,ikonaktiwni,regbezr,pod29bezr
Монтана,201202,60045,12163,2547
Пазарджик,201202,115297,18879,4038
Перник,201202,60837,6190,1283
Плевен,201202,107641,17325,3395
Пловдив,201202,302681,29634,6836
Разград,201202,52154,10059,1563
Русе,201202,102880,11080,1877
Силистра,201202,45518,8935,1499
Сливен,201202,78097,13713,3601
Смолян,201202,58440,12765,1867
гр. София,201202,665475,24137,4307
Софийска,201202,109181,14625,3685
Стара Загора,201202,147697,15254,3705
Търговище,201202,49168,9963,1464
Хасково,201202,104465,12826,2776
Шумен,201202,76138,14331,2665
Ямбол,201202,55779,8809,2237
Общо за страната,201203,3282740,376577,75634
Благоевград,201203,151333,21632,4516
Бургас,201203,188448,17724,3715
Варна,201203,222697,18946,4104
Велико Търново,201203,108453,12892,2210
Видин,201203,37828,7681,1468
Враца,201203,74912,14443,2828
Габрово,201203,54178,4154,677
Добрич,201203,79873,11296,1975
Кърджали,201203,60746,9449,1409
Кюстендил,201203,56911,8169,1719
Ловеч,201203,55868,9203,1716
Монтана,201203,60045,12272,2580
Пазарджик,201203,115297,18917,4057
Перник,201203,60837,6295,1295
Плевен,201203,107641,17521,3446
Пловдив,201203,302681,29746,6877
Разград,201203,52154,9522,1499
Русе,201203,102880,11031,1884
Силистра,201203,45518,8782,1481
Сливен,201203,78097,13832,3580
Смолян,201203,58440,12965,1871
гр. София,201203,665475,24498,4374
Софийска,201203,109181,14665,3681
Стара Загора,201203,147697,15248,3621
Търговище,201203,49168,9859,1454
Хасково,201203,104465,12900,2787
Шумен,201203,76138,14156,2602
Ямбол,201203,55779,8779,2208
Общо за страната,201204,3282740,373524,73805
Благоевград,201204,151333,21951,4624
Бургас,201204,188448,16380,3462
Варна,201204,222697,17863,3740
Велико Търново,201204,108453,12395,2063
Видин,201204,37828,8342,1533
Враца,201204,74912,14986,2918
Габрово,201204,54178,4165,636
Добрич,201204,79873,10718,1843
Кърджали,201204,60746,9372,1356
Кюстендил,201204,56911,8454,1735
Ловеч,201204,55868,9206,1710
Монтана,201204,60045,12952,2687
Пазарджик,201204,115297,19188,4047
